,method,workers,N,delay,pi,delay_per_point
0,threading,1,100000,0.03827834129333496,3.0603099214578706,3.827834129333496e-07
1,multiprocessing,1,100000,0.054323673248291016,3.0655045889211037,5.432367324829102e-07
2,sequential,1,100000,0.039632558822631836,3.0605713831878956,3.9632558822631835e-07
3,threading,2,100000,0.07269811630249023,3.05415267058644,7.269811630249023e-07
4,multiprocessing,2,100000,0.04250311851501465,3.0678925231301615,4.250311851501465e-07
5,threading,3,100000,0.06339120864868164,3.062765231299026,6.339120864868164e-07
6,multiprocessing,3,100000,0.043767690658569336,3.0656495355729536,4.3767690658569336e-07
7,threading,4,100000,0.07371711730957031,3.060218391867508,7.371711730957031e-07
8,multiprocessing,4,100000,0.04452967643737793,3.057377897609023,4.452967643737793e-07
9,threading,5,100000,0.07269597053527832,3.0568786733809383,7.269597053527832e-07
10,multiprocessing,5,100000,0.04217243194580078,3.0577318103915925,4.217243194580078e-07
11,threading,6,100000,0.07221174240112305,3.0608998763119977,7.221174240112304e-07
12,multiprocessing,6,100000,0.04554462432861328,3.0589019499872405,4.554462432861328e-07
13,threading,7,100000,0.05408883094787598,3.0599544511183914,5.408883094787598e-07
14,multiprocessing,7,100000,0.046262502670288086,3.0526562912508934,4.6262502670288087e-07
15,threading,8,100000,0.05910301208496094,3.0601308056172862,5.910301208496093e-07
16,multiprocessing,8,100000,0.05057930946350098,3.0649537128113344,5.057930946350097e-07
17,threading,9,100000,0.06706380844116211,3.059546748980965,6.706380844116211e-07
18,multiprocessing,9,100000,0.04924917221069336,3.0662058037655733,4.924917221069336e-07
19,threading,10,100000,0.05417299270629883,3.061281789091128,5.417299270629883e-07
20,multiprocessing,10,100000,0.05379366874694824,3.0612775510046335,5.379366874694825e-07
21,threading,11,100000,0.07476472854614258,3.060143640492932,7.476472854614258e-07
22,multiprocessing,11,100000,0.05340886116027832,3.0563533242532386,5.340886116027832e-07
23,threading,12,100000,0.07681083679199219,3.0560811829563845,7.681083679199219e-07
24,multiprocessing,12,100000,0.05630159378051758,3.0590155770829046,5.630159378051758e-07
25,threading,13,100000,0.07646560668945312,3.0594995049465687,7.646560668945312e-07
26,multiprocessing,13,100000,0.05827784538269043,3.061839806278579,5.827784538269043e-07
27,threading,14,100000,0.07770109176635742,3.056094769544739,7.770109176635742e-07
28,multiprocessing,14,100000,0.06101584434509277,3.0576188388940335,6.101584434509278e-07
29,threading,15,100000,0.07626962661743164,3.061926739089678,7.626962661743164e-07
30,multiprocessing,15,100000,0.06382083892822266,3.06499346915022,6.382083892822265e-07
31,threading,16,100000,0.07463598251342773,3.0642897279023678,7.463598251342773e-07
32,multiprocessing,16,100000,0.06160902976989746,3.06756779477988,6.160902976989746e-07
33,threading,17,100000,0.07795357704162598,3.0570628915112468,7.795357704162598e-07
34,multiprocessing,17,100000,0.06744551658630371,3.0652152808662056,6.744551658630372e-07
35,threading,18,100000,0.07609081268310547,3.0581221864336117,7.609081268310547e-07
36,multiprocessing,18,100000,0.07644128799438477,3.064674044603597,7.644128799438476e-07
37,threading,19,100000,0.07448291778564453,3.0643300594820864,7.448291778564453e-07
38,multiprocessing,19,100000,0.07853055000305176,3.0638889609917834,7.853055000305176e-07
39,threading,20,100000,0.07670021057128906,3.0590435125596787,7.670021057128906e-07
40,multiprocessing,20,100000,0.07610917091369629,3.0572791063557436,7.610917091369629e-07
41,threading,21,100000,0.0776069164276123,3.0531372151919363,7.76069164276123e-07
42,multiprocessing,21,100000,0.07717084884643555,3.058940667674815,7.717084884643555e-07
43,threading,22,100000,0.0787200927734375,3.0574779007790798,7.87200927734375e-07
44,multiprocessing,22,100000,0.08221864700317383,3.062517347941915,8.221864700317383e-07
45,threading,23,100000,0.07653117179870605,3.0585273433663516,7.653117179870606e-07
46,multiprocessing,23,100000,0.08109641075134277,3.063296780861026,8.109641075134277e-07
47,threading,24,100000,0.07643437385559082,3.058484171941827,7.643437385559082e-07
48,multiprocessing,24,100000,0.08301568031311035,3.058532920208436,8.301568031311036e-07
49,threading,25,100000,0.08107113838195801,3.0597605434084456,8.107113838195801e-07
50,multiprocessing,25,100000,0.09449529647827148,3.0587724087109422,9.449529647827149e-07
51,threading,26,100000,0.07624530792236328,3.0630422669222885,7.624530792236328e-07
52,multiprocessing,26,100000,0.09335017204284668,3.0643313700722428,9.335017204284668e-07
53,threading,27,100000,0.07663512229919434,3.0602059718821604,7.663512229919433e-07
54,multiprocessing,27,100000,0.08936643600463867,3.062574772150772,8.936643600463867e-07
55,threading,28,100000,0.07930970191955566,3.061260835122936,7.930970191955567e-07
56,multiprocessing,28,100000,0.09322381019592285,3.0576865741479433,9.322381019592285e-07
57,threading,29,100000,0.07671976089477539,3.0608939672308555,7.671976089477539e-07
