,method,workers,N,delay,pi,delay_per_point
0,threading,1,100000,0.06142997741699219,3.14412,6.142997741699219e-07
1,multiprocessing,1,100000,0.01934814453125,3.14212,1.934814453125e-07
2,sequential,1,100000,0.008371114730834961,3.14212,8.37111473083496e-08
3,threading,2,100000,0.009288787841796875,3.1422,9.288787841796875e-08
4,multiprocessing,2,100000,0.024100542068481445,3.13744,2.4100542068481446e-07
5,threading,3,100000,0.007627010345458984,3.14204,7.627010345458985e-08
6,multiprocessing,3,100000,0.029412269592285156,3.14748,2.941226959228516e-07
7,threading,4,100000,0.008236408233642578,3.1458,8.236408233642578e-08
8,multiprocessing,4,100000,0.03534293174743652,3.11776,3.5342931747436526e-07
9,threading,5,100000,0.007928609848022461,3.13872,7.928609848022461e-08
10,multiprocessing,5,100000,0.03656435012817383,3.128,3.656435012817383e-07
11,threading,6,100000,0.007950782775878906,3.13832,7.950782775878906e-08
12,multiprocessing,6,100000,0.04071474075317383,3.13152,4.071474075317383e-07
13,threading,7,100000,0.008078575134277344,3.1342,8.078575134277343e-08
14,multiprocessing,7,100000,0.042766571044921875,3.15504,4.2766571044921876e-07
15,threading,8,100000,0.007850408554077148,3.13552,7.850408554077149e-08
16,multiprocessing,8,100000,0.04384160041809082,3.15456,4.384160041809082e-07
17,threading,9,100000,0.007302522659301758,3.14132,7.302522659301758e-08
18,multiprocessing,9,100000,0.04326200485229492,3.12948,4.3262004852294923e-07
19,threading,10,100000,0.008333683013916016,3.1372,8.333683013916016e-08
20,multiprocessing,10,100000,0.04765772819519043,3.1332,4.765772819519043e-07
21,threading,11,100000,0.007650613784790039,3.1358,7.650613784790039e-08
22,multiprocessing,11,100000,0.046120405197143555,3.13016,4.6120405197143557e-07
23,threading,12,100000,0.008973121643066406,3.14184,8.973121643066406e-08
24,multiprocessing,12,100000,0.06445050239562988,3.15888,6.445050239562989e-07
25,threading,13,100000,0.00827932357788086,3.14312,8.27932357788086e-08
26,multiprocessing,13,100000,0.054064273834228516,3.1206,5.406427383422851e-07
27,threading,14,100000,0.009063243865966797,3.1412,9.063243865966796e-08
28,multiprocessing,14,100000,0.06269145011901855,3.13768,6.269145011901855e-07
29,threading,15,100000,0.008596658706665039,3.14048,8.596658706665039e-08
30,multiprocessing,15,100000,0.0707101821899414,3.13732,7.071018218994141e-07
31,threading,16,100000,0.008413076400756836,3.14328,8.413076400756836e-08
32,multiprocessing,16,100000,0.06038832664489746,3.14048,6.038832664489746e-07
33,threading,17,100000,0.009337186813354492,3.13572,9.337186813354492e-08
34,multiprocessing,17,100000,0.07754635810852051,3.1322,7.754635810852051e-07
